iter	Passed	Remaining
466	740	845
467	741	843
468	743	841
469	744	839
470	745	837
471	746	835
472	747	833
473	749	831
474	750	829
475	751	827
476	752	825
477	754	823
478	755	821
479	756	819
480	757	817
481	758	815
482	760	813
483	761	811
484	762	809
485	763	807
486	765	806
487	766	804
488	767	802
489	768	800
490	770	798
491	771	796
492	772	794
493	773	792
494	774	790
495	776	788
496	777	786
497	779	785
498	780	783
499	781	781
500	783	779
501	784	777
502	785	776
503	786	774
504	787	772
505	789	770
506	790	768
507	791	766
508	793	765
509	794	763
510	795	761
511	797	759
512	798	757
513	799	756
514	800	754
515	802	752
516	803	750
517	804	748
518	805	746
519	807	745
520	808	743
521	809	741
522	810	739
523	812	737
524	813	735
525	814	734
526	815	732
527	817	730
528	818	728
529	819	726
530	820	725
531	822	723
532	823	721
533	824	719
534	825	717
535	827	715
536	828	714
537	829	712
538	830	710
539	832	708
540	833	706
541	834	705
542	835	703
543	837	701
544	838	699
545	839	698
546	840	696
547	842	694
548	843	692
549	844	690
550	845	689
551	846	687
552	848	685
553	849	683
554	850	682
555	851	680
556	853	678
557	854	676
558	855	675
559	856	673
560	858	671
561	859	669
562	860	668
563	861	666
564	863	664
565	864	662
566	865	661
567	866	659
568	867	657
569	869	655
570	870	654
571	871	652
572	872	650
573	874	648
574	875	647
575	877	645
576	878	643
577	879	642
578	880	640
579	882	638
580	883	636
581	884	635
582	885	633
583	887	631
584	888	630
585	889	628
586	890	626
587	892	625
588	893	623
589	894	621
590	895	619
591	896	618
592	898	616
593	899	614
594	900	612
595	901	611
596	903	609
597	904	607
598	905	606
599	906	604
600	907	602
601	909	600
602	910	599
603	911	597
604	912	595
605	913	594
606	915	592
607	916	590
608	917	589
609	919	587
610	920	585
611	921	584
612	922	582
613	923	580
614	925	579
615	926	577
616	927	575
617	928	574
618	930	572
619	931	570
620	932	569
621	933	567
622	935	565
623	936	564
624	937	562
625	938	560
626	939	558
627	940	557
628	942	555
629	943	554
630	944	552
631	945	550
632	946	549
633	948	547
634	949	545
635	950	543
636	951	542
637	952	540
638	954	539
639	955	537
640	956	535
641	957	534
642	959	532
643	960	530
644	961	529
645	963	527
646	964	526
647	965	524
648	966	522
649	968	521
650	969	519
651	970	518
652	971	516
653	973	514
654	974	513
655	975	511
656	977	510
657	978	508
658	979	506
659	980	505
660	981	503
661	983	502
662	984	500
663	985	498
664	987	497
665	988	495
666	989	494
667	990	492
668	992	490
669	993	489
670	994	487
671	995	486
672	997	484
673	998	482
674	999	481
675	1001	479
676	1002	478
677	1003	476
678	1004	474
679	1005	473
680	1007	471
681	1008	470
682	1009	468
683	1010	466
684	1012	465
685	1013	464
686	1015	462
687	1016	461
688	1018	459
689	1019	458
690	1020	456
691	1022	454
692	1023	453
693	1024	451
694	1026	450
695	1027	448
696	1028	447
697	1029	445
698	1030	443
699	1032	442
700	1033	440
701	1034	439
702	1035	437
703	1037	436
704	1038	434
705	1039	432
706	1040	431
707	1041	429
708	1042	428
709	1044	426
710	1045	424
711	1046	423
712	1047	421
713	1048	420
714	1050	418
715	1051	417
716	1052	415
717	1053	413
718	1055	412
719	1056	410
720	1057	409
721	1058	407
722	1060	406
723	1061	404
724	1062	403
725	1063	401
726	1064	399
727	1066	398
728	1067	397
729	1069	395
730	1070	393
731	1071	392
732	1073	390
733	1074	389
734	1075	387
735	1076	386
736	1077	384
737	1079	383
738	1080	381
739	1081	380
740	1083	378
741	1084	377
742	1085	375
743	1086	373
744	1087	372
745	1089	370
746	1090	369
747	1091	367
748	1092	366
749	1094	364
750	1095	363
751	1096	361
752	1097	360
753	1099	358
754	1100	357
755	1101	355
756	1102	353
757	1104	352
758	1105	350
759	1106	349
760	1107	347
761	1109	346
762	1110	344
763	1111	343
764	1112	341
765	1114	340
766	1115	338
767	1116	337
768	1117	335
769	1118	334
770	1120	332
771	1121	331
772	1122	329
773	1124	328
774	1125	326
775	1126	325
776	1127	323
777	1129	322
778	1130	320
779	1131	319
780	1132	317
781	1134	316
782	1135	314
783	1136	313
784	1138	311
785	1139	310
786	1140	308
787	1142	307
788	1143	305
789	1144	304
790	1145	302
791	1147	301
792	1148	299
793	1149	298
794	1150	296
795	1152	295
796	1153	293
797	1154	292
798	1155	290
799	1157	289
800	1158	287
801	1159	286
802	1160	284
803	1161	283
804	1163	281
805	1164	280
806	1165	278
807	1166	277
808	1168	275
809	1169	274
810	1170	272
811	1171	271
812	1173	269
813	1174	268
814	1175	266
815	1176	265
816	1178	263
817	1179	262
818	1180	260
819	1181	259
820	1182	257
821	1183	256
822	1185	254
823	1186	253
824	1187	251
825	1188	250
826	1189	248
827	1191	247
828	1192	245
829	1193	244
830	1195	243
831	1196	241
832	1197	240
833	1198	238
834	1200	237
835	1201	235
836	1202	234
837	1203	232
838	1204	231
839	1206	229
840	1207	228
841	1208	226
842	1209	225
843	1211	223
844	1212	222
845	1213	220
846	1214	219
847	1215	217
848	1217	216
849	1218	215
850	1219	213
851	1220	212
852	1222	210
853	1223	209
854	1224	207
855	1225	206
856	1227	204
857	1228	203
858	1229	201
859	1230	200
860	1232	198
861	1233	197
862	1234	195
863	1236	194
864	1237	193
865	1239	191
866	1240	190
867	1241	188
868	1242	187
869	1243	185
870	1245	184
871	1246	182
872	1247	181
873	1249	180
874	1250	178
875	1251	177
876	1253	175
877	1254	174
878	1255	172
879	1256	171
880	1257	169
881	1259	168
882	1260	167
883	1261	165
884	1263	164
885	1264	162
886	1265	161
887	1266	159
888	1268	158
889	1269	156
890	1270	155
891	1271	153
892	1272	152
893	1274	151
894	1275	149
895	1276	148
896	1277	146
897	1279	145
898	1280	143
899	1281	142
900	1282	140
901	1284	139
902	1285	138
903	1286	136
904	1287	135
905	1289	133
906	1290	132
907	1291	130
908	1292	129
909	1294	127
910	1295	126
911	1296	125
912	1297	123
913	1298	122
914	1300	120
915	1301	119
916	1302	117
917	1303	116
918	1305	115
919	1306	113
920	1307	112
921	1309	110
922	1310	109
923	1311	107
924	1312	106
925	1313	105
926	1315	103
927	1316	102
928	1317	100
929	1319	99
930	1320	97
931	1321	96
932	1323	95
933	1324	93
934	1325	92
935	1326	90
936	1327	89
937	1328	87
938	1330	86
939	1331	84
940	1332	83
941	1333	82
942	1335	80
943	1336	79
944	1337	77
945	1338	76
946	1340	74
947	1341	73
948	1342	72
949	1343	70
950	1345	69
951	1346	67
952	1347	66
953	1348	65
954	1349	63
955	1351	62
956	1352	60
957	1353	59
958	1354	57
959	1355	56
960	1357	55
961	1358	53
962	1359	52
963	1361	50
964	1362	49
965	1363	47
966	1364	46
967	1365	45
968	1367	43
969	1368	42
970	1369	40
971	1371	39
972	1373	38
973	1374	36
974	1376	35
975	1377	33
976	1379	32
977	1380	31
978	1381	29
979	1382	28
980	1383	26
981	1385	25
982	1386	23
983	1387	22
984	1389	21
985	1390	19
986	1391	18
987	1392	16
988	1394	15
989	1395	14
990	1396	12
991	1397	11
992	1398	9
993	1400	8
994	1401	7
995	1402	5
996	1403	4
997	1405	2
998	1406	1
999	1407	0
